country,beer_servings
Afghanistan,0
Cook Islands,0
Iran,0
Kuwait,0
Libya,0
Maldives,0
Marshall Islands,0
Monaco,0
Pakistan,0
San Marino,0
Bangladesh,0
Saudi Arabia,0
Mauritania,0
Somalia,0
North Korea,0
Qatar,1
Comoros,1
Timor-Leste,1
Haiti,1
Tajikistan,2
Niger,3
Nepal,5
Myanmar,5
Syria,5
Mali,5
Indonesia,5
Egypt,6
Yemen,6
Jordan,6
Tuvalu,6
Sudan,8
Gambia,8
Malawi,8
Guinea,9
India,9
Senegal,9
Iraq,9
Morocco,12
Malaysia,13
Djibouti,15
Chad,15
United Arab Emirates,16
Sri Lanka,16
Central African Republic,17
Eritrea,18
Turkmenistan,19
Liberia,19
Ethiopia,20
Lebanon,20
Vanuatu,21
Armenia,21
Azerbaijan,21
Kiribati,21
Oman,22
Bhutan,23
Uzbekistan,25
Algeria,25
Sierra Leone,25
Burkina Faso,25
Madagascar,26
Guinea-Bissau,28
Montenegro,31
Kyrgyzstan,31
Ghana,31
Brunei,31
Zambia,32
DR Congo,32
Benin,34
Togo,36
Tonga,36
Tanzania,36
Cote d'Ivoire,37
Nigeria,42
Bahrain,42
Rwanda,43
Papua New Guinea,44
Uganda,45
Mozambique,47
Nauru,49
Tunisia,51
Turkey,51
El Salvador,52
Georgia,52
Dominica,52
Guatemala,53
Sao Tome & Principe,56
Solomon Islands,56
Cambodia,57
Kenya,58
Singapore,60
Micronesia,62
Laos,62
Israel,63
Zimbabwe,64
Honduras,69
Philippines,71
Bosnia-Herzegovina,76
Congo,76
Mongolia,77
Japan,77
Fiji,77
Nicaragua,78
China,79
Jamaica,82
Lesotho,82
Italy,85
Burundi,88
Albania,89
Swaziland,90
Equatorial Guinea,92
Cuba,93
Guyana,93
Mauritius,98
Thailand,99
Antigua & Barbuda,102
Samoa,105
Macedonia,106
Moldova,109
Vietnam,111
Uruguay,115
St. Vincent & the Grenadines,120
Bahamas,122
Kazakhstan,124
France,127
Suriname,128
Chile,130
Greece,133
South Korea,140
Belarus,142
Barbados,143
Cabo Verde,144
Cameroon,147
Malta,149
Costa Rica,149
Sweden,152
Seychelles,157
Colombia,159
Ecuador,162
Peru,163
Bolivia,167
Norway,169
St. Lucia,171
Botswana,173
Switzerland,185
Niue,188
Cyprus,192
Dominican Republic,193
Argentina,193
Portugal,194
St. Kitts & Nevis,194
Slovakia,196
Trinidad & Tobago,197
Grenada,199
New Zealand,203
Ukraine,206
Paraguay,213
Angola,217
United Kingdom,219
Estonia,224
Denmark,224
South Africa,225
Croatia,230
Bulgaria,231
Iceland,233
Hungary,234
Luxembourg,236
Mexico,238
Canada,240
Andorra,245
Brazil,245
Russian Federation,247
USA,249
Netherlands,251
Australia,261
Finland,263
Belize,263
Slovenia,270
Austria,279
Latvia,281
Serbia,283
Spain,284
Panama,285
Belgium,295
Romania,297
Palau,306
Ireland,313
Venezuela,333
Lithuania,343
Poland,343
Germany,346
Gabon,347
Czech Republic,361
Namibia,376
